variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,returncode,elapsed_sec,notes
PB2_edge_vol_mult_0.0,15506.0,8696.0,38606.0,62808.0,2412,1630.5,"{""HYDROGEL_PACK"": 17, ""VELVETFRUIT_EXTRACT"": 2, ""VEV_4000"": 2, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 11, ""VEV_5300"": 54, ""VEV_5400"": 21, ""VEV_5500"": 13, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 11918.0, ""VELVETFRUIT_EXTRACT"": 1572.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 171.0, ""VEV_5400"": 23.0, ""VEV_5500"": 4.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4043.0, ""VELVETFRUIT_EXTRACT"": 2766.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 196.0, ""VEV_5400"": 56.0, ""VEV_5500"": 10.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 10242.0, ""VELVETFRUIT_EXTRACT"": 2402.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 16.0, ""VEV_5300"": -180.0, ""VEV_5400"": -23.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-50-17.log,0,14.031,
PB2_edge_vol_mult_0.1,15506.0,8696.0,38606.0,62808.0,2412,1630.5,"{""HYDROGEL_PACK"": 17, ""VELVETFRUIT_EXTRACT"": 2, ""VEV_4000"": 2, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 11, ""VEV_5300"": 54, ""VEV_5400"": 21, ""VEV_5500"": 13, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 11918.0, ""VELVETFRUIT_EXTRACT"": 1572.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 171.0, ""VEV_5400"": 23.0, ""VEV_5500"": 4.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4043.0, ""VELVETFRUIT_EXTRACT"": 2766.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 196.0, ""VEV_5400"": 56.0, ""VEV_5500"": 10.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 10242.0, ""VELVETFRUIT_EXTRACT"": 2402.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 16.0, ""VEV_5300"": -180.0, ""VEV_5400"": -23.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-50-32.log,0,14.209,
PB2_edge_vol_mult_0.2,15506.0,8696.0,38606.0,62808.0,2412,1630.5,"{""HYDROGEL_PACK"": 17, ""VELVETFRUIT_EXTRACT"": 2, ""VEV_4000"": 2, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 11, ""VEV_5300"": 54, ""VEV_5400"": 21, ""VEV_5500"": 13, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 11918.0, ""VELVETFRUIT_EXTRACT"": 1572.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 171.0, ""VEV_5400"": 23.0, ""VEV_5500"": 4.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4043.0, ""VELVETFRUIT_EXTRACT"": 2766.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 196.0, ""VEV_5400"": 56.0, ""VEV_5500"": 10.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 10242.0, ""VELVETFRUIT_EXTRACT"": 2402.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 16.0, ""VEV_5300"": -180.0, ""VEV_5400"": -23.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-50-47.log,0,14.276,
PB2_edge_vol_mult_0.35,15506.0,8696.0,38606.0,62808.0,2412,1630.5,"{""HYDROGEL_PACK"": 17, ""VELVETFRUIT_EXTRACT"": 2, ""VEV_4000"": 2, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 11, ""VEV_5300"": 54, ""VEV_5400"": 21, ""VEV_5500"": 13, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 11918.0, ""VELVETFRUIT_EXTRACT"": 1572.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 171.0, ""VEV_5400"": 23.0, ""VEV_5500"": 4.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4043.0, ""VELVETFRUIT_EXTRACT"": 2766.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 196.0, ""VEV_5400"": 56.0, ""VEV_5500"": 10.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 10242.0, ""VELVETFRUIT_EXTRACT"": 2402.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 16.0, ""VEV_5300"": -180.0, ""VEV_5400"": -23.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-51-02.log,0,13.961,
