variant,4-1,4-2,4-3,total_pnl,trade_count,max_drawdown,final_positions,product_pnl_by_day,log_path,returncode,elapsed_sec,notes
PB_make_edge_mult_0.5,15108.0,8042.0,37496.0,60646.0,2555,1777.5,"{""HYDROGEL_PACK"": 11, ""VELVETFRUIT_EXTRACT"": 9, ""VEV_4000"": 2, ""VEV_4500"": 1, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 13, ""VEV_5300"": 59, ""VEV_5400"": 31, ""VEV_5500"": 20, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 11814.0, ""VELVETFRUIT_EXTRACT"": 1278.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": -26.0, ""VEV_5200"": 14.0, ""VEV_5300"": 184.0, ""VEV_5400"": 36.0, ""VEV_5500"": 4.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3337.0, ""VELVETFRUIT_EXTRACT"": 2756.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 242.0, ""VEV_5400"": 67.0, ""VEV_5500"": 13.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 10222.0, ""VELVETFRUIT_EXTRACT"": 2424.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 6.0, ""VEV_5000"": 26.0, ""VEV_5100"": 3.0, ""VEV_5200"": -4.0, ""VEV_5300"": -184.0, ""VEV_5400"": -38.0, ""VEV_5500"": -2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-46-48.log,0,14.639,
PB_make_edge_mult_0.65,15391.0,8082.0,37984.0,61457.0,2471,1779.5,"{""HYDROGEL_PACK"": 14, ""VELVETFRUIT_EXTRACT"": 5, ""VEV_4000"": 2, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 13, ""VEV_5300"": 57, ""VEV_5400"": 25, ""VEV_5500"": 16, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 12012.0, ""VELVETFRUIT_EXTRACT"": 1344.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 180.0, ""VEV_5400"": 33.0, ""VEV_5500"": 4.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3413.0, ""VELVETFRUIT_EXTRACT"": 2752.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 220.0, ""VEV_5400"": 60.0, ""VEV_5500"": 10.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 10398.0, ""VELVETFRUIT_EXTRACT"": 2383.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -4.0, ""VEV_5300"": -184.0, ""VEV_5400"": -28.0, ""VEV_5500"": 2.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-47-03.log,0,14.394,
PB_make_edge_mult_0.75,15506.0,8696.0,38606.0,62808.0,2412,1630.5,"{""HYDROGEL_PACK"": 17, ""VELVETFRUIT_EXTRACT"": 2, ""VEV_4000"": 2, ""VEV_5000"": 0, ""VEV_5100"": 1, ""VEV_5200"": 11, ""VEV_5300"": 54, ""VEV_5400"": 21, ""VEV_5500"": 13, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 11918.0, ""VELVETFRUIT_EXTRACT"": 1572.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": -30.0, ""VEV_5100"": 0.0, ""VEV_5200"": 14.0, ""VEV_5300"": 171.0, ""VEV_5400"": 23.0, ""VEV_5500"": 4.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4043.0, ""VELVETFRUIT_EXTRACT"": 2766.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 196.0, ""VEV_5400"": 56.0, ""VEV_5500"": 10.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 10242.0, ""VELVETFRUIT_EXTRACT"": 2402.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 16.0, ""VEV_5300"": -180.0, ""VEV_5400"": -23.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-47-19.log,0,14.445,
PB_make_edge_mult_0.9,14662.0,8422.0,37062.0,60146.0,2324,1449.0,"{""HYDROGEL_PACK"": 14, ""VELVETFRUIT_EXTRACT"": 5, ""VEV_4000"": 2, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 50, ""VEV_5400"": 17, ""VEV_5500"": 10, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 11049.0, ""VELVETFRUIT_EXTRACT"": 1616.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 159.0, ""VEV_5400"": 18.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 3940.0, ""VELVETFRUIT_EXTRACT"": 2620.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 184.0, ""VEV_5400"": 46.0, ""VEV_5500"": 6.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9859.0, ""VELVETFRUIT_EXTRACT"": 2320.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -146.0, ""VEV_5400"": -14.0, ""VEV_5500"": 1.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-47-34.log,0,14.261,
PB_make_edge_mult_1.0,14615.0,8532.0,36819.0,59966.0,2255,1387.0,"{""HYDROGEL_PACK"": 15, ""VELVETFRUIT_EXTRACT"": 5, ""VEV_4000"": 2, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 7, ""VEV_5300"": 48, ""VEV_5400"": 14, ""VEV_5500"": 7, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10926.0, ""VELVETFRUIT_EXTRACT"": 1695.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": -16.0, ""VEV_5300"": 159.0, ""VEV_5400"": 15.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4176.0, ""VELVETFRUIT_EXTRACT"": 2523.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 160.0, ""VEV_5400"": 42.0, ""VEV_5500"": 5.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9674.0, ""VELVETFRUIT_EXTRACT"": 2198.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": 12.0, ""VEV_5300"": -150.0, ""VEV_5400"": -8.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-47-49.log,0,13.913,
PB_make_edge_mult_1.15,14142.0,8835.0,36484.0,59461.0,2155,1183.0,"{""HYDROGEL_PACK"": 7, ""VELVETFRUIT_EXTRACT"": 1, ""VEV_4000"": 2, ""VEV_5000"": 1, ""VEV_5100"": 1, ""VEV_5200"": 6, ""VEV_5300"": 44, ""VEV_5400"": 9, ""VEV_5500"": 4, ""VEV_6000"": 60, ""VEV_6500"": 60}","{""4-1"": {""HYDROGEL_PACK"": 10192.0, ""VELVETFRUIT_EXTRACT"": 1952.0, ""VEV_4000"": 1815.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 149.0, ""VEV_5400"": 14.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-2"": {""HYDROGEL_PACK"": 4160.0, ""VELVETFRUIT_EXTRACT"": 2850.0, ""VEV_4000"": 1606.0, ""VEV_4500"": 0.0, ""VEV_5000"": 0.0, ""VEV_5100"": 0.0, ""VEV_5200"": 0.0, ""VEV_5300"": 172.0, ""VEV_5400"": 24.0, ""VEV_5500"": 3.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}, ""4-3"": {""HYDROGEL_PACK"": 9544.0, ""VELVETFRUIT_EXTRACT"": 2163.0, ""VEV_4000"": 1874.0, ""VEV_4500"": 0.0, ""VEV_5000"": 28.0, ""VEV_5100"": 24.0, ""VEV_5200"": -8.0, ""VEV_5300"": -140.0, ""VEV_5400"": 2.0, ""VEV_5500"": 0.0, ""VEV_6000"": 10.0, ""VEV_6500"": 10.0}}",C:\Users\ATM Rahat Hossain\Desktop\IMC-Prosperity-Challenge\ROUND4\backtests\2026-04-27_03-48-04.log,0,14.049,
